순번,현장명,공정률,공사규모,재해일자,발생형태,기인물(대),기인물(중),기인물(소),기인물상세,소업종명,규모,직종,연령,성별,근속기간,재해요일,재해시간,재해개요,시설물(대),근로자수
218,Dongo Apartment new construction,Less than 70 to 80%,Less than 300 million to 500 million won,19870704,unclassifiable,unclassifiable,unclassifiable,unclassifiable,unclassifiable,Architectural construction work,30 to 49 people,unclassifiable,39,other,less than 1 month,Saturday,18:00,,Residential and commercial facilities,47
219,Donghae Cheongok Apartment Section 2,Less than 10 to 20%,Less than 5 billion to 10 billion won,19940608,unclassifiable,unclassifiable,unclassifiable,unclassifiable,unclassifiable,Architectural construction work,100 ~ 199 people,unclassifiable,53,female,less than 1 month,wednesday,10 o'clock,,Residential and commercial facilities,114
220,Jurye-dong Cheonggu Apartment new construction,Less than 20 to 30%,Less than 50 billion to 100 billion won,19971130,"Work-related diseases (brain, heart, etc.)","People, animals and plants","People, animals and plants",person,Person (the victim himself),Architectural construction work,200 ~ 299 people,unclassifiable,56,other,1 month to less than 2 months,sunday,10 o'clock,"The victim suddenly collapsed while working on arranging timber and pipes at the site of ***Icheong-gu Apartment in Jurye-dong, Busan, causing paralysis of his left leg and speech impediment.",Residential and commercial facilities,213
221,Samseong-dong Shin Dongnam Apartment,Less than 30 to 40%,Less than 10 billion to 12 billion won,20000812,fall,"Buildings, structures and surfaces",stairs and ladders,stairs,Stairs lacking detailed information,Architectural construction work,50 to 99 people,unclassifiable,47,other,less than 1 month,Saturday,15 o'clock,"He fell and suffered injuries to his side and head. 00. 8. 8. *** While working on the mold, on the stairs, the employer's seal was rejected, and the accident occurred on the application form for medical treatment: During the work on the retaining wall formwork on the first basement floor, eyewitness Ahn Hee-jin looked for it and found that he was taking painkillers for a headache in a container being used as a waiting room and lounge for workers. He said he was coming and told me to take a rest. When I went there around 18:00, I found him collapsed.",Residential and commercial facilities,69
222,Hwagok Jugong Pilot APT Reconstruction Project,Less than 40 to 50%,More than 100 billion won,20010401,"Work-related diseases (brain, heart, etc.)","People, animals and plants","People, animals and plants",person,Person (the victim himself),Architectural construction work,less than 5 people,unclassifiable,48,other,4 months to less than 5 months,sunday,16:00,"***Rebar worker *** Ihwagok Jugong pilot apartment reconstruction work site. While assembling rebar on the slab top, he suddenly complained of feeling dizzy and in pain, and was diagnosed with cerebral hemorrhage.",Residential and commercial facilities,4
223,Hwawon Mansion Apartment Reconstruction Work,Less than 60 ~ 70%,Less than 2 billion to 5 billion won,20020204,"Work-related diseases (brain, heart, etc.)","People, animals and plants","People, animals and plants",person,Person (the victim himself),Architectural construction work,10 to 15 people,unclassifiable,46,other,1 month to less than 2 months,monday,17:00,"While working on laying Styrofoam insulation on the 8th floor of Jeongwon-gil Hwawon Apartment reconstruction site, Jeongwon-gil cut a piece of Styrofoam and was lying forward. When he lay down with his colleagues, he was foaming at the mouth and was taken to the hospital.",Residential and commercial facilities,13
224,Sinwol-dong Palace Row Reconstruction Apartment Construction,Less than 40 to 50%,Less than 5 billion to 10 billion won,20020321,"Work-related diseases (brain, heart, etc.)","People, animals and plants","People, animals and plants",person,Person (the victim himself),Architectural construction work,less than 5 people,"Construction, electrical and production managers",62,other,6 months to less than 1 year,thursday,09:00,"A victim with a pre-existing disease joined the site as a director on May 1, 2002, and due to stress and overwork due to financial issues and problems with subcontractors, his existing diseases, unstable angina and coronary artery stenosis, worsened and he died on March 21, 2002. Coronary artery bypass surgery was performed.",Residential and commercial facilities,3
225,Cheongok Village row house new construction,Less than 60 ~ 70%,Less than 5 billion to 10 billion won,20030207,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,fat,double rope scaffolding,Architectural construction work,100 ~ 199 people,Simple construction and mining workers,64,other,3 months to less than 4 months,friday,16:00,"While the victim was dismantling a 6m-high temporary fence facility at a new building site in Cheongok Village, Wisa, the moment he loosened the Ashiba clamp to dismantle the Ashiba from a height of about 3.5m above the ground, the Ashiba shook, lost his body balance, and fell.",Residential and commercial facilities,107
226,Namyangju Pyeongnae Woonam Apartment,Less than 50 to 60%,Less than 30 billion to 50 billion won,20030724,fall,"Buildings, structures and surfaces",ends and openings,Other ends and openings,Other ends and openings,Architectural construction work,100 ~ 199 people,unclassifiable,52,other,less than 1 month,thursday,09:00,"The accident occurred when the victim, Youngwan Hong, fell while working at a construction site.",Residential and commercial facilities,182
227,"New construction of student dormitories, etc. within Daegu Institute of Technology",Less than 50 to 60%,Less than 2 billion to 5 billion won,20030828,stuck,"Buildings, structures and surfaces","Buildings, structures and surfaces lacking detailed information","Buildings, structures and surfaces lacking detailed information","Buildings, structures and surfaces lacking detailed information",Architectural construction work,50 to 99 people,Construction-related technicians,44,other,4 months to less than 5 months,thursday,16:00,Victim ***The accident occurred under the form retaining wall while moving a tripod for rebar placement work at the construction site of a new student dormitory at Edaegu College of Engineering.,Residential and commercial facilities,60
228,"New multi-family construction at 103-199, Hoegi-dong",over 90,Less than 300 million to 500 million won,20050416,hit by object,"Buildings, structures and surfaces",Scaffolding and work scaffolding,fat,double rope scaffolding,Architectural construction work,5 to 9 people,Simple construction and mining workers,49,other,less than 1 month,Saturday,10 o'clock,"During cleaning and finishing work at a multi-family construction site in Hoegi-dong, an asiba fell from above and hit his head.",Residential and commercial facilities,9
229,Gwangan-dong Seongwon Santeville sign production and installation service,Less than 60 ~ 70%,Less than 20 million to 40 million won,20051013,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,fat,scaffolding,Other construction work,less than 5 people,"Workers in trades related to wood, furniture, musical instruments and signboards",34,other,4 months to less than 5 months,thursday,15 o'clock,"Actual picture of the interior of the 1st floor lobby of the Seongwon Construction model house in Haeundae-gu (6m*9m) While assisting a worker who was climbing up the ladder with a tacker to install a ladder on the PT roof to install flex, the indoor work space was lost due to finishing work on site. As this narrow space made the installation of the PT horse unstable, the PT horse was pushed backwards, causing the center of gravity to shift backwards, causing the PT horse and the ladder to fall and cause an accident.",Residential and commercial facilities,3
230,Geoje Sinhyeonsuam Daedong Florence Apartment defect repair work,Less than 60 ~ 70%,Less than 10 million to 20 million won,20050808,"Work-related diseases (brain, heart, etc.)","People, animals and plants","People, animals and plants",person,Person (the victim himself),Other construction work,less than 5 people,Architectural finishing related skills,44,other,6 months to less than 1 year,monday,09:00,"The injured worker, ""***"", collapsed during painting work on Daedong Florence Apartment 1-504 in Sang-dong, Sinhyeon-eup, Geoje-si, Gyeongsangnam-do on August 8, 2005. He was transported to the emergency room of Masan Samsung Hospital via Geoje Paik Hospital for treatment, but did not recover and died on August 9, 2005. It was a disaster in which he died from spontaneous intracerebral hemorrhage.",Residential and commercial facilities,1
231,Apartment light rail construction (Doosan Apartment in Geumho-dong),Less than 20 to 30%,Less than 40 million to 100 million won,20070316,fall,"Parts, Accessories and Materials",Equipment/mechanical parts and accessories,Lifting equipment parts and accessories,"Sling (rope, chain)",Other construction work,10 to 15 people,Installation and repair personnel related to video and communication equipment,33,other,less than 1 month,friday,11 o'clock,"While using a rope to install optical cables at a work site at Geumho Doosan Apartments in Geumho-dong, Seongdong-gu, he suddenly fell and suffered a disaster.",Residential and commercial facilities,10
232,Next Generation Convergence Technology Research Center construction work,Less than 60 ~ 70%,Less than 30 billion to 50 billion won,20070624,fall,Equipment/Machines,"Transportation, lifting equipment and machinery",lift,Small cargo elevator,Architectural construction work,100 ~ 199 people,unclassifiable,65,other,1 year to less than 2 years,sunday,16:00,The elevator fell due to my own mistake while inspecting the elevator on site (6M).,Residential and commercial facilities,192
233,Sacheon Juju With Apartment new construction,Less than 5 to 10%,Less than 50 billion to 100 billion won,20070722,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,fat,Scaffolding lacking detailed information,Architectural construction work,300 ~ 499 people,unclassifiable,66,other,1 month to less than 2 months,sunday,11 o'clock,"While dismantling the transverse pipe clip of the scaffolding pipe from the top of the first stage of the soundproofing scaffolding pipe at the new construction site of Sacheon Tin Weed A, the person fell to his death due to losing his body balance due to the deformation of the scaffolding pipe.",Residential and commercial facilities,311
234,Donghae Gyusubang Apartment new construction,Less than 10 to 20%,Less than 1 billion to 2 billion won,20061229,fall,"Buildings, structures and surfaces",stairs and ladders,stairs,permanent stairs,Architectural construction work,16 to 29 people,unclassifiable,46,other,less than 1 month,friday,23 o'clock,"2006.12.29 Around 23:00, at the accommodation (designated by the subcontractor's representative) about 100 meters away from the Gyusubang Apartment site in Ilgo-dong, Donghae-si, water accumulated in the basement accommodation due to a water pipe burst. He came up to the first floor, went back down the basement stairs, fell and hit his head. Dutcher died",Residential and commercial facilities,19
235,Installation of scraper in Culture Jugong Complex 2,Less than 30 to 40%,Less than 10 million won,20080609,Occupational diseases (excluding pneumoconiosis),"Containers, supplies, furniture and utensils","Containers, packages and utensils","Other containers, packages and utensils","Other containers, packages and utensils",Other construction work,less than 5 people,unclassifiable,24,other,4 months to less than 5 months,monday,16:00,"Munhwa Jugong, Munhwa-dong, Jung-gu, Daejeon, suffocated due to toxic gas while entering the septic tank to install a scraper in my septic tank.",Residential and commercial facilities,1
236,Deungchon-dong Apartment Construction Section 2,After construction completion,Less than 12 billion to 15 billion won,20080704,Occupational diseases (excluding pneumoconiosis),"Parts, Accessories and Materials",ingredient,Non-metallic mineral materials,asbestos,New embankment (dam) construction work,100 ~ 199 people,unclassifiable,45,other,10 to less than 20 years,friday,09:00,"The victim died on August 4, 2008 at Inje University Ilsan Paik Hospital. He was diagnosed with malignant mesothelioma and worked as a site manager at various construction sites. He applied for industrial accident compensation on the grounds that the injury occurred due to the use of asbestos on site. The last asbestos handling workplace was confirmed to be Jinro Construction Co., Ltd.'s new Deungchon-dong apartment construction site. being.",Residential and commercial facilities,124
237,Anseong Seokjeong-dong Shinwon Morning City Apartment Construction,Less than 50 to 60%,Less than 50 billion to 100 billion won,20081028,collapse,"Buildings, structures and surfaces",formwork and braces,formwork,Monolithic formwork,Architectural construction work,200 ~ 299 people,unclassifiable,31,other,4 months to less than 5 months,tuesday,17:00,"08.10.28 At around 5:10 p.m., the victim, who was working with the team leader to salvage the gang form from the balcony on the 7th floor of Building 108, arbitrarily dismantled the fixing bolts of the gang form being prepared for the salvage work except in two places, causing the gang form to fail to withstand the load and 19 people along with the gang form. Death occurred after falling from a height of 1 meter.",Residential and commercial facilities,292
238,Namwon Buyeong 5th Apartment Painting Work,less than 5%,Less than 100 million to 200 million won,20081116,fall,"Buildings, structures and surfaces",ends and openings,end,end,Other construction work,5 to 9 people,unclassifiable,34,other,less than 1 month,sunday,17:00,"2008.11.16. At around 17:00, the victim, Hong Ryong-hae, died in the drainage ditch at the end of the eaves on the 12th floor of the rooftop of Building 502, Lines 5 and 6 at the above site, falling to the ground 36 meters below while he was moving the painting work line after completing the painting work for the day.",Residential and commercial facilities,6
239,Gochang Seokgyo Dasomga Apartment new construction,Less than 60 ~ 70%,Less than 15 billion to 20 billion won,20081203,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,fat,moon scaffolding,Architectural construction work,100 ~ 199 people,Architectural finishing related skills,47,other,2 months to less than 3 months,wednesday,09:00,"2008.12.03 Around 09:00, while painting the exterior wall of the 12th floor of Building 1 at the Seonun Plaza Apartment construction site located in Seokgyo-ri, Gochang-eup, Gochang-gun, Jeollabuk-do, a work chair tied to a rope flipped over and fell to the floor, resulting in death.",Residential and commercial facilities,156
240,Paju Hillstate 2nd new construction,Less than 40 to 50%,Less than 50 billion to 100 billion won,20081024,fall,"Buildings, structures and surfaces",ends and openings,end,end,Architectural construction work,500 ~ 999 people,unclassifiable,47,other,1 month to less than 2 months,friday,07:00,"At around 7:15 a.m. on Friday, October 24, 2008, at the 2nd new construction site of Paju Hillstate of Hyundai Engineering & Construction Co., Ltd., located at 215 Dangdong-ri, Munsan-eup, Paju-si, Gyeonggi-do, Choi Il-yong, a rebar assembler, was a vertical rebar at the end of the rear balcony of a unit on the 3rd floor of Apartment Building 205. While bending, he slipped and fell to the floor of CON'C below 7.55m. He was taken to the hospital but died.",Residential and commercial facilities,616
241,"Taeyoung Desian construction work in Gaksan-dong, Daegu",Less than 40 to 50%,More than 100 billion won,20081114,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,fat,Other scaffolding,Architectural construction work,"1,000 ~ 1,999 people",unclassifiable,37,other,less than 1 month,friday,16:00,"2008.11.14. At around 16:20, a person died after slipping and falling while riding a horse scaffold to do painting work on the rooftop of Building 102 (height: 45m) at the Taeyoung Desian Apartment building construction site in Gaksan-dong, Dong-gu, Daegu.",Residential and commercial facilities,1055
242,Namyangju Jinjeop 13 Block Shinan Insville Apartment Construction,Less than 50 to 60%,More than 100 billion won,20090107,fall,"Buildings, structures and surfaces","Buildings, structures and surfaces lacking detailed information","Buildings, structures and surfaces lacking detailed information","Buildings, structures and surfaces lacking detailed information",Architectural construction work,"1,000 ~ 1,999 people",Construction-related technicians,55,other,less than 1 month,wednesday,15 o'clock,The victim died after falling to the ground about 21.5 meters below the ground while installing a falling object prevention net at the same construction site.,Residential and commercial facilities,1089
243,Wolgok-dong residential-commercial apartment complex construction,Less than 70 to 80%,More than 100 billion won,20090212,fall,"Buildings, structures and surfaces",ends and openings,opening,other openings,Architectural construction work,300 ~ 499 people,Construction-related technicians,47,other,4 months to less than 5 months,thursday,13 o'clock,"The deceased was a concrete worker belonging to Geunbo Construction Co., Ltd., a partner company of Far East Construction Co., Ltd., and arbitrarily dismantled the opening railing for the installation of a moving walkway on the 3rd basement floor at the new construction site of Co-op Star Class in Hawolgok-dong, Seongbuk-gu, and connected a rope to the rear decker to destroy the 5th basement floor. It was a disaster in which a person died after falling to the 5th basement floor while descending.",Residential and commercial facilities,397
244,Chogye Villa repair work,Less than 60 ~ 70%,Less than 20 million to 40 million won,20090205,fall,"Buildings, structures and surfaces",ends and openings,end,end,Architectural construction work,less than 5 people,Construction-related technicians,68,other,less than 1 month,thursday,13 o'clock,"2009.2.5. Around 13:18, the deceased and fellow workers were working on the roof of the 3rd floor of Chogye Villa, 262-22, Sajik-dong, Jongno-gu. Fellow worker Yang Han-oh slipped while working and was hanging on the railing. Fellow worker Kim Ok-seong tried to pull him up, but when he tried to fall together, the deceased caught him, but Kim Ok-seong caught him. They fell together, causing the deceased to die and Kim Ok-seong to be injured.",Residential and commercial facilities,1
245,Ace Safety Glass Factory Building Fire Restoration Work,Less than 10 to 20%,Less than 100 million to 200 million won,20081203,fall,"Buildings, structures and surfaces",Other buildings and structures,"roof, beam","Roof, beams lacking detailed information",Other construction work,10 to 15 people,Device/machine operation and assembly workers,44,other,less than 1 month,wednesday,16:00,"- The site above was in ‘08. As a construction site to restore a factory building damaged by a fire that occurred on 11. 07, - ‘08. On 12. 03. (Wednesday), 7 workers, including the victim, were deployed to cover the roof panel. - Around 16:20, 3 workers were working on the ground and 3 workers were working at a height of about 8m above the ground. - The upper worker was working on the roof panel. While moving and transporting a roof panel (width: 1m, length: 14m, thickness: 75mm, weight: 76kg), which was lifted by a mobile crane (25 tons) on top of a steel frame, the victim fell about 8m to the concrete floor below. It was an accident. ※ At the time, the crane had completed lifting 5 roof panels and it was confirmed that there was no direct or indirect causal relationship with the cause of the disaster.",Residential and commercial facilities,10
246,Yugok e-Pyeonhansesang new construction,Less than 50 to 60%,More than 100 billion won,20090120,Traffic accident outside the workplace,Equipment/Machines,Construction and mining machinery,Excavation and loading related machinery,white tiger,Architectural construction work,"1,000 ~ 1,999 people",unclassifiable,62,other,6 months to less than 1 year,tuesday,16:00,"When Mr. *** asked forklift driver Geum-sik Choi for help in disposing of the residue that flowed out from the concrete pouring of the commercial building at the Yugok construction site, Mr. Geum-sik Choi arbitrarily operated a nearby excavator and tried to do the work, but was unable to find Mr. *** and ripped off the person. It was compressed by impact.",Residential and commercial facilities,1276
247,Ansan Sin-gil B-1BL Apartment Construction Section 4,Less than 60 ~ 70%,Less than 20 billion to 30 billion won,20080621,hit by object,Equipment/Machines,"Transportation, lifting equipment and machinery",Lifting equipment and machinery,Detailed information: Insufficient lifting equipment and machinery,Architectural construction work,100 ~ 199 people,Simple construction and mining workers,62,other,less than 1 month,Saturday,10 o'clock,"The net ""***"" was discovered at around 10:30 on June 21, 2009 at the site of ""Ansan Sin-gil B-1BL Apartment Construction Section 4"" being built by Samneung Construction Co., Ltd. when the mobile crane driven by ""Choi Jong-pil"" was overloaded (200 kg in weight). It was a disaster in which the crane auxiliary boom broke because the crane auxiliary boom broke, and a bundle of materials (volume: 1 meter in height, 2.5 to 30 meters in width) that was tied to the crane fell, hitting the deceased on the ground and killing him.",Residential and commercial facilities,119
248,Ilsan Xi Apartment new construction,Less than 30 to 40%,More than 100 billion won,20090119,fall,"Buildings, structures and surfaces",ends and openings,opening,floor opening,Architectural construction work,"2,000 people or more",Simple construction and mining workers,59,other,2 months to less than 3 months,monday,14:00,"At approximately 2:20 p.m. on Monday, January 19, 2009, at the GS Engineering & Construction Co., Ltd. Ilsan Xi Apartment 2BL new construction site located at 344 Sik-dong, Ilsandong-gu, Goyang-si, Gyeonggi-do, the victim *** (age 58, directly managed) was in the stairwell of apartment building 211, ground level 4~6. He slipped through the spaced opening (35CM",Residential and commercial facilities,4623
249,"Paju New Town A2B/L Byeoksan, Halla Apartment Construction",Less than 30 to 40%,Less than 50 billion to 100 billion won,20081228,collapse,"Buildings, structures and surfaces",formwork and braces,club,club,Architectural construction work,200 ~ 299 people,Architectural and civil engineering technicians and testers,34,other,6 months to less than 1 year,sunday,16:00,"At approximately 4:05 pm on Sunday, December 28, 2008, a victim at the Paju Gyohasin City apartment construction site of Halla Construction Co., Ltd. located in A2BL, Gyohashin City, Paju-si, Gyeonggi-do, was found to have safety issues such as slab form deformation and settlement during the slab concrete pouring work in the pump section of the underground parking lot. While inspecting, the formwork collapsed (maximum floor height of approximately 7.5m) and the upper slab collapsed, burying the victim. After the accident, the Paju Fire Department and others conducted emergency rescue operations, but due to the difficulty in locating the victims, the risk of additional collapse, and the time it took to remove collapsed debris, they were rescued around 02:40 the next day, but they were already dead.",Residential and commercial facilities,285
250,Jo Won Im Gwang You Dae Apartment New Construction Construction,Less than 40 to 50%,Less than 50 billion to 100 billion won,20090219,collapse,"Buildings, structures and surfaces",Other temporary structures,earth retaining support,earth retaining support,Architectural construction work,300 ~ 499 people,Simple construction and mining workers,35,other,less than 1 month,thursday,13 o'clock,"On February 19, 2009, around 13:40, he was sitting down and resting for a while while working on clearing the upper part of the external temporary earth retaining facility around Building 103, when the temporary facility about 18m high and 12m wide suddenly collapsed, and he was buried in the collapsing soil and died.",Residential and commercial facilities,315
251,Cheolsan Jugong Complex 2 Apartment House Reconstruction and Maintenance Project,Less than 60 ~ 70%,Less than 50 billion to 100 billion won,20090204,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,fat,scaffolding,Architectural construction work,200 ~ 299 people,"Construction, electrical and production managers",59,other,2 to less than 3 years,wednesday,13 o'clock,"2009.2.4. Around 13:10, during plastering work on the basement level of building 111 at the housing redevelopment project site of Gwangmyeong Cheolsan Jugong Complex 2, while raising the mortar frame scaffolding to the second level, he fell from the height of the first level of the frame scaffolding to the ground floor and his head hit the concrete floor, causing a disaster. He died on February 6, 2 days after receiving treatment.",Residential and commercial facilities,288
252,Gwangju Jinwol C-2BL Apartment Construction Section 5,Less than 50 to 60%,Less than 50 billion to 100 billion won,20090218,fall,"Buildings, structures and surfaces",formwork and braces,formwork,Monolithic formwork,Architectural construction work,200 ~ 299 people,Construction-related technicians,38,other,4 months to less than 5 months,wednesday,14:00,"An accident occurred at an apartment construction site in Jinwol-dong, Gwangju, during the dismantling of the gang form on the front balcony of the 14th floor of Building 601. After moving to the No. 2 gang form, the gang form fell off the retaining wall for unknown reasons, causing ashes to fall along with it.",Residential and commercial facilities,223
253,Gwangmyeong Station area AB-1BL apartment construction work section 2,Less than 30 to 40%,Less than 30 billion to 50 billion won,20081104,stuck,Equipment/Machines,Construction and mining machinery,Other construction work machines,pile riding,Architectural construction work,100 ~ 199 people,unclassifiable,33,other,1 month to less than 2 months,tuesday,14:00,"2008.11.4 (Tuesday) Around 14:00, during the basic pile driving work for building 312 at the AB-1 block 2 tool site in the residential area near Gwangmyeong Station, '***' is on the upper part of the casing motor for the work of connecting the pile auger motor and the screw with a pin. After moving to and completing the work, the excavator owner and operator 'Choi Young-geun' removed the bucket supporting the screw, causing the screw to fall, causing *** to become constricted and death.",Residential and commercial facilities,170
254,Cheonan Bangjuk-an Residential Environment Improvement Project District Apartment Construction Section 1,Less than 70 to 80%,Less than 30 billion to 50 billion won,20081211,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,fat,moon scaffolding,Other construction work,less than 5 people,electrician,45,other,3 months to less than 4 months,thursday,15 o'clock,"After framing work on the external wing wall at the back of Building 104 at the construction site for Apartment Construction in Zone 1, Juhwan District, Cheonan, 2 ropes and safety ropes were tied to the temporary railing on the roof to secure the ridge surface of the connection area. The upper railing (pipe) that fixed the rope on the lower railing subject to safety railing fell due to the pipe and rope falling due to the flow of the rope that occurred during work.",Residential and commercial facilities,0
255,"Shindonga Familiar Apartment, Hi-Park City, Deokji-gu, Ilsan",Less than 30 to 40%,Less than 500 million to 1 billion won,20090323,fall,"Buildings, structures and surfaces",Other buildings and structures,"Steel beams, trusses","steel frame, truss",Architectural construction work,less than 5 people,unclassifiable,51,other,less than 1 month,monday,13 o'clock,"At approximately 1:25 p.m. on Monday, March 23, 2009, a subcontractor was at the site of “Goyang Deokji-gu High Park City New Construction” being constructed by Shindonga Construction Co., Ltd. located in Deokji-gu, Ilsanseo-gu, Goyang-si, Gyeonggi-do (San 130-13, Deoki-dong). The victim (male, deck worker, 51 years old) from Deoksan Housing Co., Ltd. was brought in with a work tool (hammer) to install (fix) a slab deck plate on the first floor (height 4.3m) of the underground parking lot of an apartment building (Building 407). It was a disaster in which a person fell and died while moving to the upper level.",Residential and commercial facilities,2
256,Paju Unjeong District Byeoksan Apartment Construction,Less than 50 to 60%,Less than 50 billion to 100 billion won,20090318,fall,"Buildings, structures and surfaces","Buildings, structures and surfaces lacking detailed information","Buildings, structures and surfaces lacking detailed information","Buildings, structures and surfaces lacking detailed information",Architectural construction work,500 ~ 999 people,unclassifiable,34,other,1 month to less than 2 months,wednesday,13 o'clock,"At around 13:00 on Wednesday, March 18, 2009, the balcony gang form (G/F) of the 5th floor of building 105 was being lifted at the Byeoksan Apartment new construction site (Paju A8BL) in the Paju Unjeong district, Gyoha-eup, Paju-si, Gyeonggi-do, being constructed by Byeoksan Construction Co., Ltd. He lost his balance, fell, and was taken to Ilsan Paik Hospital, but died.",Residential and commercial facilities,669
257,Pohang Buk-gu Yangdeok District House Story New Construction Construction,Less than 80 ~ 90%,Less than 50 billion to 100 billion won,20090415,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,fat,scaffolding,Other construction work,300 ~ 499 people,Architectural finishing related skills,46,other,less than 1 month,wednesday,10 o'clock,"On Wednesday, April 15, 2009, around 10:00 a.m., while working on the two-stage B/T scaffolding (h=3.6m) to plaster the ceiling of Room 2603, Building 105 (living room on the top floor of the 26th floor) at our site, While coming down in time, his hand wearing a grass-covered work glove slipped and he fell from a height of about 3 meters.",Residential and commercial facilities,474
258,Doosan We’ve new construction in Seoul,over 90,Less than 50 billion to 100 billion won,20090326,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,fat,Other scaffolding,Architectural construction work,300 ~ 499 people,Cleaners and sanitation workers,40,other,less than 1 month,thursday,15 o'clock,"After signing a labor contract with Miseong Enterprise Co., Ltd. for 180,000 won per day, Mang *** first printed the exterior cleaning work at Doosan We've Apartments in Seoul, received new training and special safety training in the morning, and completed the cleaning work on the exterior balcony sash glass of Building 104. While being deployed and carrying out work, he fell from the rooftop to the ground at around 15:50 and died instantly at the scene. The cause of the fall was assumed to be that the seat belt was not fastened to the rope while boarding the external horse scaffolding.)",Residential and commercial facilities,411
259,Gangil District Complex 4 and Complex 6 and Complex 8 Apartment Landscaping Construction,over 90,Less than 5 billion to 10 billion won,20090314,fall,Transportation,land transportation,Ground transportation/special vehicles,cargo transport truck,Architectural construction work,less than 5 people,unclassifiable,68,other,less than 1 month,Saturday,08:00,"2009.3.14. At around 08:23, at the construction site of an apartment building in Complex 4 in Gangil District, the victim lost his footing and fell while unloading a truck carrying materials (grass). The accident occurred due to head damage during the fall. He was immediately transported to the hospital, but died during treatment.",Residential and commercial facilities,0
260,Incheon Nonhyeon District 1 Block Apartment Construction (Turnkey),Less than 50 to 60%,Less than 50 billion to 100 billion won,20090131,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,work platform,scaffolding work platform,Architectural construction work,200 ~ 299 people,Construction-related technicians,58,other,1 month to less than 2 months,Saturday,12 o'clock,"At around 12:50 on January 31, 2009, the injured person finished lunch and stepped on the external scaffolding on the 3rd floor of Apartment No. 1 in Building 105 to do ceramic molding work. The moment the unfastened work scaffolding came off the scaffolding and fell about 8m along with the scaffolding. He fell to the ground below and was taken to Gachon University Gil Hospital by 119 for treatment, but died around 17:53 on the same day.",Residential and commercial facilities,245
261,Daejeon Bongsan Jugong,Less than 70 to 80%,Less than 50 billion to 100 billion won,20090123,"Work-related diseases (brain, heart, etc.)","People, animals and plants","People, animals and plants",person,Person (the victim himself),Architectural construction work,less than 5 people,"Construction, electrical and production managers",48,other,10 to less than 20 years,friday,13 o'clock,"The deceased joined Hanshin Engineering Co., Ltd. on April 10, 1989, and had been working as a deputy manager in charge of machinery (equipment) at the “Daejeon Bongsan Jugong@ New Construction Site” being constructed by Hanshin Engineering Co., Ltd. since March 27, 2009. .23. Around 11:00, he told a fellow worker, “I’m tired, I want to rest for a while,” and went to the construction site accommodation, where he died on January 23, 2009. At around 18:15, a fellow worker who went to look for the deceased was found to have committed suicide by hanging himself at the dormitory (no autopsy was performed).",Residential and commercial facilities,0
262,Yangpyeong Hyundai Sungwoo Apartment new construction,Less than 60 ~ 70%,More than 100 billion won,20090204,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,fat,double rope scaffolding,Architectural construction work,300 ~ 499 people,unclassifiable,43,other,2 months to less than 3 months,wednesday,15 o'clock,"On February 4, 2009, at around 15:00, the deceased fell about 3.4 meters while doing piping work on the BTI at the Yangpyeong Hyundai Sungwoo Apartment construction site in Gangsam-myeon, Yangpyeong-gun, and passed away on February 6 of the same year at Hemin Hospital in Seoul. .It was an accident that resulted in death.",Residential and commercial facilities,449
263,Pohang Hyoja 3rd SK VIEW,Less than 70 to 80%,Less than 50 billion to 100 billion won,20090321,hit by object,"Parts, Accessories and Materials",ingredient,metal materials,"Steel materials (steel beams, etc.)",Architectural construction work,300 ~ 499 people,Goods moving equipment operator,51,female,6 months to less than 1 year,Saturday,08:00,"’09. On March 21, around 08:30, while waiting in the waiting room of the construction lift for Line 5-6, Building 302, at the above construction site, a tower crane belonging to a subcontractor worker was struck while the fiber rope that tied the rebar on the gangform work platform on the 34th floor had not been completely dismantled. At the same time as the fiber rope rises with the rising signal, the rebar bundle (450kg) is lifted, and the rebar bundle falls (97.7m) between the gangform railings, hitting the deceased on the head, causing death on the spot.",Residential and commercial facilities,335
264,Namyangju Jinjeop 8 Block Booyoung Apartment Construction,Less than 60 ~ 70%,Less than 50 billion to 100 billion won,20090228,collapse,"Buildings, structures and surfaces",floor and ground surface etc.,slope and bedrock,slope and bedrock,Architectural construction work,300 ~ 499 people,Architectural and civil engineering technicians and testers,49,other,less than 1 month,Saturday,14:00,A disaster in which a person died due to the collapse of the excavated slope and burial while measuring and checking the level on the excavated floor during the laying of a rainwater pipe related to civil engineering work.,Residential and commercial facilities,491
